complexity,loss,equation,score,sympy_format,lambda_format
1,0.2807644880958836,-1.9952612397239786,0.0,-1.9952612397239786,PySRFunction(X=>-1.9952612397239786)
3,0.01266014331272,x6 * -2.84486813666829,1.5495287302435106,x6*(-2.84486813666829),PySRFunction(X=>x6*(-2.84486813666829))
4,0.0047137897524502,exp(x0) * -1.13343528575684,0.9879665339209011,exp(x0)*(-1.13343528575684),PySRFunction(X=>exp(x0)*(-1.13343528575684))
5,6.1944343898439324e-06,(x0 * -1.9193131151565512) + -0.9875738234069757,6.6345962719947735,x0*(-1.9193131151565512) - 0.9875738234069757,PySRFunction(X=>x0*(-1.9193131151565512) - 0.9875738234069757)
6,6.194434389843811e-06,abs(x3 * 1.9193131150246048) + -2.9068869384981673,1.9539925233402948e-14,1.9193131150246048*Abs(x3) - 2.9068869384981673,PySRFunction(X=>1.9193131150246048*Abs(x3) - 2.9068869384981673)
7,5.808937367810631e-06,((x3 ^ 1.0034740139505212) * 1.9185748771362294) + -2.9048047063312543,0.06425355280896324,x3**1.0034740139505212*1.9185748771362294 - 2.9048047063312543,PySRFunction(X=>x3**1.0034740139505212*1.9185748771362294 - 2.9048047063312543)
9,3.009497076825815e-06,(0.0008063166876936608 / x0) + ((x3 * 1.912097662470587) - 2.9060429760133117),0.328812338169923,x3*1.912097662470587 - 1*2.9060429760133117 + 0.0008063166876936608/x0,PySRFunction(X=>x3*1.912097662470587 - 1*2.9060429760133117 + 0.0008063166876936608/x0)
11,2.626398411884757e-06,(x3 * (((x6 ^ x7) * 0.1546313622470703) + 1.7853946021841405)) + -2.9079336527937807,0.06807974907919079,x3*(x6**x7*0.1546313622470703 + 1.7853946021841405) - 2.9079336527937807,PySRFunction(X=>x3*(x6**x7*0.1546313622470703 + 1.7853946021841405) - 2.9079336527937807)
12,2.2374304763828364e-06,((square(x8 * (0.28462547427601775 - x7)) - -1.9173796632668936) * x3) + -2.9072001342328755,0.16028538385481506,x3*(x8**2*(0.28462547427601775 - x7)**2 - 1*(-1.9173796632668936)) - 2.9072001342328755,PySRFunction(X=>x3*(x8**2*(0.28462547427601775 - x7)**2 - 1*(-1.9173796632668936)) - 2.9072001342328755)
14,1.8443816492629475e-06,((abs(((x0 + x8) - x6) * 0.0511473046447789) - -1.9136831248339468) * x3) + -2.907168446420814,0.09659201340503658,x3*(0.0511473046447789*Abs(x0 - x6 + x8) - 1*(-1.9136831248339468)) - 2.907168446420814,PySRFunction(X=>x3*(0.0511473046447789*Abs(x0 - x6 + x8) - 1*(-1.9136831248339468)) - 2.907168446420814)
16,1.7881300959633745e-06,((square(((x8 ^ x3) * x8) + -0.08830498521552065) * x4) + -2.9062654901122524) - (x3 * -1.9150475495491757),0.015486818578036276,-(-1.9150475495491757)*x3 + x4*(x8*x8**x3 - 0.08830498521552065)**2 - 2.9062654901122524,PySRFunction(X=>-(-1.9150475495491757)*x3 + x4*(x8*x8**x3 - 0.08830498521552065)**2 - 2.9062654901122524)
17,1.5153541876123412e-06,(((-0.0712473930779763 - (x5 * 0.1959744350899737)) * (x3 + (x8 * x4))) + -2.909230407190755) - (x3 * -2.0466562265007777),0.16552123587008372,-(-2.0466562265007777)*x3 + (x3 + x4*x8)*(-0.1959744350899737*x5 - 0.0712473930779763) - 2.909230407190755,PySRFunction(X=>-(-2.0466562265007777)*x3 + (x3 + x4*x8)*(-0.1959744350899737*x5 - 0.0712473930779763) - 2.909230407190755)
19,1.4955828264811193e-06,(((-0.07220826388715455 - (x5 * 0.19578718001990073)) * (x3 + ((x4 * x8) ^ 1.025785878707669))) - (x3 * -2.0468625617500478)) + -2.909162435826012,0.00656660874024655,-(-2.0468625617500478)*x3 + (x3 + (x4*x8)**1.025785878707669)*(-0.19578718001990073*x5 - 0.07220826388715455) - 2.909162435826012,PySRFunction(X=>-(-2.0468625617500478)*x3 + (x3 + (x4*x8)**1.025785878707669)*(-0.19578718001990073*x5 - 0.07220826388715455) - 2.909162435826012)
