complexity,loss,equation,score,sympy_format,lambda_format
1,0.002188391148942,0.08233973047168124,0.0,0.08233973047168124,PySRFunction(X=>0.08233973047168124)
3,1.173718321688967e-06,x3 * 0.1723667169358792,3.765372577723922,x3*0.1723667169358792,PySRFunction(X=>x3*0.1723667169358792)
4,1.1737183216889651e-06,abs(x3 / -5.801584074819689),1.6653345369377362e-15,0.1723667169351639*Abs(x3),PySRFunction(X=>0.1723667169351639*Abs(x3))
5,2.994866634912483e-07,(x3 / 5.90184379275097) + 0.001860647720383739,1.3658621538624083,x3/5.90184379275097 + 0.001860647720383739,PySRFunction(X=>x3/5.90184379275097 + 0.001860647720383739)
7,2.1329049199877163e-07,((x3 * 0.17466151292812646) ^ 1.0185254903194496) + 0.002826492204855064,0.16970741927820213,(x3*0.17466151292812646)**1.0185254903194496 + 0.002826492204855064,PySRFunction(X=>(x3*0.17466151292812646)**1.0185254903194496 + 0.002826492204855064)
8,7.142194379419823e-08,(x3 / (square(x1) + 5.980525946790601)) + 0.0038435938605045944,1.0940498905823788,x3/(x1**2 + 5.980525946790601) + 0.0038435938605045944,PySRFunction(X=>x3/(x1**2 + 5.980525946790601) + 0.0038435938605045944)
9,6.847069323994195e-08,(x3 / ((x0 ^ 4.2374035662617535) + 5.977831015537197)) + 0.003733614879911434,0.04219934037365816,x3/(x0**4.2374035662617535 + 5.977831015537197) + 0.003733614879911434,PySRFunction(X=>x3/(x0**4.2374035662617535 + 5.977831015537197) + 0.003733614879911434)
11,6.528469450844568e-08,(x3 / ((x1 ^ (x5 + 1.8783571763490805)) + 5.979717298990444)) + 0.003775243586442522,0.02382409815543827,x3/(x1**(x5 + 1.8783571763490805) + 5.979717298990444) + 0.003775243586442522,PySRFunction(X=>x3/(x1**(x5 + 1.8783571763490805) + 5.979717298990444) + 0.003775243586442522)
12,6.137484568522771e-08,(x3 / ((x1 ^ square(x5 + 1.212689705871141)) + 5.983229973690804)) + 0.003858878344215818,0.06175754967826839,x3/(x1**(1.470616322725834*(0.8246132503298901*x5 + 1)**2) + 5.983229973690804) + 0.003858878344215818,PySRFunction(X=>x3/(x1**(1.470616322725834*(0.8246132503298901*x5 + 1)**2) + 5.983229973690804) + 0.003858878344215818)
13,5.8300213693619496e-08,(x3 / (((x1 / 6.636963337330599) ^ (x3 ^ x1)) + 5.97965454677907)) + 0.003892375014367162,0.05139431305443902,x3/((x1/6.636963337330599)**(x3**x1) + 5.97965454677907) + 0.003892375014367162,PySRFunction(X=>x3/((x1/6.636963337330599)**(x3**x1) + 5.97965454677907) + 0.003892375014367162)
15,5.521133627949629e-08,(x3 / ((x1 / (6.636954194508305 ^ ((x4 / x0) ^ x1))) + 5.986765120497384)) + 0.003991362180345392,0.02721872959160398,x3/(5.986765120497384 + x1/(6.636954194508305**((x4/x0)**x1))) + 0.003991362180345392,PySRFunction(X=>x3/(5.986765120497384 + x1/(6.636954194508305**((x4/x0)**x1))) + 0.003991362180345392)
16,4.966086650192405e-08,(x3 / ((x1 / 4.136217661962008) + ((x7 ^ square(0.9492835595697985 / x1)) + 5.9743634019904395))) + 0.0038203813945229628,0.10595107096287065,x3/(x1/4.136217661962008 + x7**(0.9011392764695072/x1**2) + 5.9743634019904395) + 0.0038203813945229628,PySRFunction(X=>x3/(x1/4.136217661962008 + x7**(0.9011392764695072/x1**2) + 5.9743634019904395) + 0.0038203813945229628)
17,4.889765218502704e-08,(x3 / (((x1 / 4.1362046815117886) + 5.981986948449282) + abs(x7 ^ square(0.8991348035741359 / x1)))) + 0.003969739490385568,0.01548784586531245,x3/(x1/4.1362046815117886 + Abs(x7**(0.8084433949983/x1**2)) + 5.981986948449282) + 0.003969739490385568,PySRFunction(X=>x3/(x1/4.1362046815117886 + Abs(x7**(0.8084433949983/x1**2)) + 5.981986948449282) + 0.003969739490385568)
18,3.36801840174728e-08,(x3 / ((x1 / (5.91683218380176 - ((x1 + 0.6212334037133544) ^ square(-1.6276781336433652 / x1)))) + 5.963231196676359)) + 0.0034708090567836893,0.37281972969116506,x3/(x1/(5.91683218380176 - (x1 + 0.6212334037133544)**(2.6493361067407486/x1**2)) + 5.963231196676359) + 0.0034708090567836893,PySRFunction(X=>x3/(x1/(5.91683218380176 - (x1 + 0.6212334037133544)**(2.6493361067407486/x1**2)) + 5.963231196676359) + 0.0034708090567836893)
19,3.3680177611774954e-08,(x3 / abs((x1 / (5.916832181142075 - ((x1 + 0.6212334084993646) ^ square(-1.627678138973801 / x1)))) + 5.963231193372858)) + 0.0034707292175851522,1.901919078793365e-07,x3/Abs(x1/((x1 + 0.6212334084993646)**(2.649336124093216/x1**2) - 5.916832181142075) - 5.963231193372858) + 0.0034707292175851522,PySRFunction(X=>x3/Abs(x1/((x1 + 0.6212334084993646)**(2.649336124093216/x1**2) - 5.916832181142075) - 5.963231193372858) + 0.0034707292175851522)
