complexity,loss,equation,score,sympy_format,lambda_format
1,0.0078933747693984,0.09129788864827908,0.0,0.09129788864827908,PySRFunction(X=>0.09129788864827908)
3,0.0032377675291547,x4 * x0,0.44556985636792507,x0*x4,PySRFunction(X=>x0*x4)
4,0.0032377603556691,exp(x2) * x4,2.215567820094883e-06,x4*exp(x2),PySRFunction(X=>x4*exp(x2))
5,0.0020885037408874,x5 * (x4 ^ x0),0.43843394639442823,x4**x0*x5,PySRFunction(X=>x4**x0*x5)
6,0.0010951135086012,square(x7 * (x4 / 0.2769723459494756)),0.6455898774182389,13.03548460346631*x4**2*x7**2,PySRFunction(X=>13.03548460346631*x4**2*x7**2)
7,0.0006207380538004,(x4 * (x0 / 0.22126244060751643)) ^ 3.509207701206995,0.5677041182820006,(x0*x4/0.22126244060751643)**3.509207701206995,PySRFunction(X=>(x0*x4/0.22126244060751643)**3.509207701206995)
8,0.0001663938923905,square((0.04930497563686815 - (x0 * x4)) / 0.201735654695095),1.316551356089731,24.5716701020139*(0.04930497563686815 - x0*x4)**2,PySRFunction(X=>24.5716701020139*(0.04930497563686815 - x0*x4)**2)
9,0.0001663874429025,square(((exp(x2) * x4) - 0.04930516374985736) / 0.20173620383352267),3.876111618520641e-05,24.571536330983617*(x4*exp(x2) - 1*0.04930516374985736)**2,PySRFunction(X=>24.571536330983617*(x4*exp(x2) - 1*0.04930516374985736)**2)
10,0.0001222797447037,square(0.17538747045992076 - (((x4 / 0.2149847834276317) - 0.07849653123879974) * x0)),0.30800765299378036,(0.17538747045992076 - x0*(x4/0.2149847834276317 - 1*0.07849653123879974))**2,PySRFunction(X=>(0.17538747045992076 - x0*(x4/0.2149847834276317 - 1*0.07849653123879974))**2)
11,0.0001114385839418,square((0.27425974785548757 - ((x4 * x0) / 0.16854939576946243)) / exp(x5)),0.09283778674003132,(0.27425974785548757 - x0*x4/0.16854939576946243)**2*exp(-2*x5),PySRFunction(X=>(0.27425974785548757 - x0*x4/0.16854939576946243)**2*exp(-2*x5))
12,3.398719409552562e-05,square((x0 - 0.03637401506565255) * (0.3063098791633001 - (x4 / 0.2206719771153155))) + -0.015634516995921964,1.18748981306082,(0.3063098791633001 - x4/0.2206719771153155)**2*(x0 - 1*0.03637401506565255)**2 - 0.015634516995921964,PySRFunction(X=>(0.3063098791633001 - x4/0.2206719771153155)**2*(x0 - 1*0.03637401506565255)**2 - 0.015634516995921964)
13,3.3482324244809485e-05,square(((x4 * (x0 / 0.16009246731366375)) - 0.29550845853792695) / exp(x5)) + -0.0140223055010215,0.014966144318990026,(x0*x4/0.16009246731366375 - 1*0.29550845853792695)**2*exp(-2*x5) - 0.0140223055010215,PySRFunction(X=>(x0*x4/0.16009246731366375 - 1*0.29550845853792695)**2*exp(-2*x5) - 0.0140223055010215)
14,2.9020885241990504e-05,square((0.22282637332191305 - (x0 * (x4 / 0.20999040392246848))) / (x5 + 0.7351165593463228)) - 0.0146284581312962,0.14300191356061676,(0.22282637332191305 - x0*x4/0.20999040392246848)**2/(x5 + 0.7351165593463228)**2 - 1*0.0146284581312962,PySRFunction(X=>(0.22282637332191305 - x0*x4/0.20999040392246848)**2/(x5 + 0.7351165593463228)**2 - 1*0.0146284581312962)
16,2.235894307065672e-05,square(abs(((x0 * (x4 / 0.17503369814208275)) + -0.2682813435278075) / exp(x5)) + 0.04976180991576694) - 0.025803275426812752,0.13039468656176173,(0.04976180991576694 + exp(-re(x5))*Abs(x0*x4/0.17503369814208275 - 0.2682813435278075))**2 - 1*0.025803275426812752,PySRFunction(X=>(0.04976180991576694 + exp(-re(x5))*Abs(x0*x4/0.17503369814208275 - 0.2682813435278075))**2 - 1*0.025803275426812752)
17,2.000743038744452e-05,square(abs((0.22599865910573524 - (x0 * (x4 / 0.20724811597855441))) / (x5 + 0.8286758689013268)) + 0.04704493830756791) - 0.025250792622103155,0.11112265448554048,(Abs((x0*x4/0.20724811597855441 - 0.22599865910573524)/(x5 + 0.8286758689013268)) + 0.04704493830756791)**2 - 1*0.025250792622103155,PySRFunction(X=>(Abs((x0*x4/0.20724811597855441 - 0.22599865910573524)/(x5 + 0.8286758689013268)) + 0.04704493830756791)**2 - 1*0.025250792622103155)
19,2.000075963040861e-05,(square(abs(((x4 * (x0 / 0.1912190326510575)) - 0.24476926969497284) / (x5 + 0.8207671381980546)) + 0.050958518173872744) * 0.8389253886169205) - 0.02518079963648292,0.000166734788420892,(Abs((x0*x4/0.1912190326510575 - 0.24476926969497284)/(x5 + 0.8207671381980546)) + 0.050958518173872744)**2*0.8389253886169205 - 1*0.02518079963648292,PySRFunction(X=>(Abs((x0*x4/0.1912190326510575 - 0.24476926969497284)/(x5 + 0.8207671381980546)) + 0.050958518173872744)**2*0.8389253886169205 - 1*0.02518079963648292)
