complexity,loss,equation,score,sympy_format,lambda_format
1,0.2710304280595449,-1.7778164963819185,0.0,-1.7778164963819185,PySRFunction(X=>-1.7778164963819185)
3,0.000564867624716,x0 - 2.7493487429314394,3.0866974815318797,x0 - 1*2.7493487429314394,PySRFunction(X=>x0 - 1*2.7493487429314394)
4,0.000564867624716,exp(x2) + -2.7493497429279,-0.0,exp(x2) - 2.7493497429279,PySRFunction(X=>exp(x2) - 2.7493497429279)
5,2.4060390710190035e-06,(x0 * 0.9564295235429379) - 2.7070186200545434,5.4586095547432,x0*0.9564295235429379 - 1*2.7070186200545434,PySRFunction(X=>x0*0.9564295235429379 - 1*2.7070186200545434)
7,9.434256546187048e-07,((x0 ^ 1.006550287299612) * 0.9515633142288314) + -2.703265776987331,0.46810978556453564,x0**1.006550287299612*0.9515633142288314 - 2.703265776987331,PySRFunction(X=>x0**1.006550287299612*0.9515633142288314 - 2.703265776987331)
8,9.434239971966598e-07,((square(x6) * 0.9518707855511489) ^ 1.0065503107165792) + -2.7032667075541053,1.75681410895333e-06,(x6**2*0.9518707855511489)**1.0065503107165792 - 2.7032667075541053,PySRFunction(X=>(x6**2*0.9518707855511489)**1.0065503107165792 - 2.7032667075541053)
9,7.519542998491894e-07,(x0 + -2.828402154223744) * ((x7 * -0.002406096881219249) + 0.9585891200053208),0.2268402568273229,(0.9585891200053208 + x7*(-0.002406096881219249))*(x0 - 2.828402154223744),PySRFunction(X=>(0.9585891200053208 + x7*(-0.002406096881219249))*(x0 - 2.828402154223744))
10,7.519542990836455e-07,(square(x6) + -2.8284030231029003) * ((x7 * -0.0024061410350838734) + 0.9585892066594511),1.018072293653455e-09,(0.9585892066594511 + x7*(-0.0024061410350838734))*(x6**2 - 2.8284030231029003),PySRFunction(X=>(0.9585892066594511 + x7*(-0.0024061410350838734))*(x6**2 - 2.8284030231029003))
11,6.331058709118741e-07,(((x5 * -0.0021544410139950334) * x0) + 0.9436048270931365) * (x0 + -2.865148117900277),0.17203788882355603,(x0 - 2.865148117900277)*(x5*(-0.0021544410139950334)*x0 + 0.9436048270931365),PySRFunction(X=>(x0 - 2.865148117900277)*(x5*(-0.0021544410139950334)*x0 + 0.9436048270931365))
12,6.331057519834066e-07,(x0 + -2.8651481183839964) * (((x5 * square(x6)) * -0.002154439779163608) + 0.9436048279124447),1.878492747931045e-07,(x0 - 2.8651481183839964)*(x5*x6**2*(-0.002154439779163608) + 0.9436048279124447),PySRFunction(X=>(x0 - 2.8651481183839964)*(x5*x6**2*(-0.002154439779163608) + 0.9436048279124447))
13,5.109471645200624e-07,((x0 * -0.09753903139257183) + 0.2794681963873944) * (((x7 + x5) * 0.03995632406483549) + -9.714820832197377),0.21437128431972888,(0.2794681963873944 + x0*(-0.09753903139257183))*((x5 + x7)*0.03995632406483549 - 9.714820832197377),PySRFunction(X=>(0.2794681963873944 + x0*(-0.09753903139257183))*((x5 + x7)*0.03995632406483549 - 9.714820832197377))
15,4.768019193204673e-07,(((x5 + (x7 / 0.8519551337274138)) * 0.03291522059999408) + -9.714836913475086) * ((x0 * -0.09775561779911691) + 0.2794280317370748),0.03458252372596198,(0.2794280317370748 + x0*(-0.09775561779911691))*((x5 + x7/0.8519551337274138)*0.03291522059999408 - 9.714836913475086),PySRFunction(X=>(0.2794280317370748 + x0*(-0.09775561779911691))*((x5 + x7/0.8519551337274138)*0.03291522059999408 - 9.714836913475086))
16,4.744582695002742e-07,((x0 * -0.09688433274078365) + 0.2766155265353993) * (((sqrt(x8 * 1.6171213755210292) + x5) * 0.029690860496727506) + -9.81251254284982),0.0049274732396399285,(0.2766155265353993 - 0.09688433274078365*x0)*(0.029690860496727506*x5 + 0.037756705574742358*sqrt(x8) - 9.81251254284982),PySRFunction(X=>(0.2766155265353993 - 0.09688433274078365*x0)*(0.029690860496727506*x5 + 0.037756705574742358*sqrt(x8) - 9.81251254284982))
20,4.738864097475272e-07,((((sqrt((x7 + 0.14678162462277206) + x7) + x1) + x1) * 0.022216406314029553) + -9.714943194898021) * ((x0 * -0.09779562499278983) + 0.27923322860356137),0.0003015042075807803,(0.27923322860356137 - 0.09779562499278983*x0)*(0.044432812628059106*x1 + 0.022216406314029553*sqrt(2)*sqrt(x7 + 0.07339081231138603) - 9.714943194898021),PySRFunction(X=>(0.27923322860356137 - 0.09779562499278983*x0)*(0.044432812628059106*x1 + 0.022216406314029553*sqrt(2)*sqrt(x7 + 0.07339081231138603) - 9.714943194898021))
