complexity,loss,equation,score,sympy_format,lambda_format
1,0.2788703514827377,-1.7984365084831293,0.0,-1.7984365084831293,PySRFunction(X=>-1.7984365084831293)
3,0.0005808110731202,x0 + -2.7484365084816287,3.0870383670785784,x0 - 2.7484365084816287,PySRFunction(X=>x0 - 2.7484365084816287)
4,0.0005808110731202,exp(x2) + -2.748437508550341,-0.0,exp(x2) - 2.748437508550341,PySRFunction(X=>exp(x2) - 2.748437508550341)
5,2.309283636237111e-06,(x0 * 0.95643780896782) + -2.7070524270428487,5.52748816636316,x0*0.95643780896782 - 2.7070524270428487,PySRFunction(X=>x0*0.95643780896782 - 2.7070524270428487)
7,9.11076420685919e-07,((x6 ^ 2.0132632403179067) * 0.9513578008894175) + -2.703103180549916,0.46503293045154126,x6**2.0132632403179067*0.9513578008894175 - 2.703103180549916,PySRFunction(X=>x6**2.0132632403179067*0.9513578008894175 - 2.703103180549916)
8,9.110764201774164e-07,(square(x6 ^ 1.0066317424918412) * 0.9513577115075221) + -2.703103110506553,5.58133872608272e-10,x6**2.0132634849836824*0.9513577115075221 - 2.703103110506553,PySRFunction(X=>x6**2.0132634849836824*0.9513577115075221 - 2.703103110506553)
9,7.263531755734582e-07,(0.9975390252963859 ^ x7) * ((x0 / 1.0433212854559466) + -2.7111720360218117),0.226590415506442,0.9975390252963859**x7*(x0/1.0433212854559466 - 2.7111720360218117),PySRFunction(X=>0.9975390252963859**x7*(x0/1.0433212854559466 - 2.7111720360218117))
11,6.043471017347706e-07,((x0 * 0.9519019926138182) ^ (1.0097803442237132 ^ (0.3938514020276747 ^ x8))) + -2.7032325810503512,0.09194382982460764,(x0*0.9519019926138182)**(1.0097803442237132**(0.3938514020276747**x8)) - 2.7032325810503512,PySRFunction(X=>(x0*0.9519019926138182)**(1.0097803442237132**(0.3938514020276747**x8)) - 2.7032325810503512)
12,6.04300321132884e-07,-2.7032473487795827 + ((0.9519180136885496 * x0) ^ (1.0097476904491949 ^ (square(0.6299224674368487) ^ x8))),7.740984016499322e-05,(0.9519180136885496*x0)**(1.0097476904491949**(0.3968023149817277**x8)) - 2.7032473487795827,PySRFunction(X=>(0.9519180136885496*x0)**(1.0097476904491949**(0.3968023149817277**x8)) - 2.7032473487795827)
13,4.76985042016682e-07,((x0 / 1.0510196324392538) ^ (1.0053469544262665 ^ (x5 ^ (0.046965687575827635 ^ x8)))) + -2.703497889269258,0.23658616283932382,(x0/1.0510196324392538)**(1.0053469544262665**(x5**(0.046965687575827635**x8))) - 2.703497889269258,PySRFunction(X=>(x0/1.0510196324392538)**(1.0053469544262665**(x5**(0.046965687575827635**x8))) - 2.703497889269258)
14,4.769663351933939e-07,((exp(x2) / 1.0510014012629625) ^ (1.0053322476794848 ^ (x5 ^ (0.04695970315165989 ^ x8)))) + -2.703510397977697,3.921965780932319e-05,(exp(x2)/1.0510014012629625)**(1.0053322476794848**(x5**(0.04695970315165989**x8))) - 2.703510397977697,PySRFunction(X=>(exp(x2)/1.0510014012629625)**(1.0053322476794848**(x5**(0.04695970315165989**x8))) - 2.703510397977697)
15,4.343770907178432e-07,((x0 / 1.049996269245182) ^ (1.0048845148592178 ^ (x5 ^ ((0.29121336283966487 ^ x1) ^ x8)))) + -2.7044160419317094,0.09353288281239862,(x0/1.049996269245182)**(1.0048845148592178**(x5**((0.29121336283966487**x1)**x8))) - 2.7044160419317094,PySRFunction(X=>(x0/1.049996269245182)**(1.0048845148592178**(x5**((0.29121336283966487**x1)**x8))) - 2.7044160419317094)
16,4.21382761372637e-07,((x0 / 1.0499049258459998) ^ (1.005421141787663 ^ abs(x5 ^ (0.8596174458562311 ^ (x1 ^ x1))))) + -2.704486354297169,0.030371436928414042,(x0/1.0499049258459998)**(1.005421141787663**Abs(x5**(0.8596174458562311**(x1**x1)))) - 2.704486354297169,PySRFunction(X=>(x0/1.0499049258459998)**(1.005421141787663**Abs(x5**(0.8596174458562311**(x1**x1)))) - 2.704486354297169)
17,4.105222095854305e-07,((x0 / 1.0499049258459998) ^ (1.005421141787663 ^ (x5 ^ (0.8596174458562311 ^ ((x1 * 0.9588189394505499) ^ x1))))) + -2.704486354297169,0.02611156137312,(x0/1.0499049258459998)**(1.005421141787663**(x5**(0.8596174458562311**((x1*0.9588189394505499)**x1)))) - 2.704486354297169,PySRFunction(X=>(x0/1.0499049258459998)**(1.005421141787663**(x5**(0.8596174458562311**((x1*0.9588189394505499)**x1)))) - 2.704486354297169)
18,3.7323241007236337e-07,-2.7046412855065585 + ((x0 / 1.0497191219801882) ^ (1.0049424229274555 ^ (x5 ^ (square(x2) ^ ((x8 * 2.664726948571707) ^ x1))))),0.09522872225738618,(x0/1.0497191219801882)**(1.0049424229274555**(x5**((x2**2)**((x8*2.664726948571707)**x1)))) - 2.7046412855065585,PySRFunction(X=>(x0/1.0497191219801882)**(1.0049424229274555**(x5**((x2**2)**((x8*2.664726948571707)**x1)))) - 2.7046412855065585)
20,3.448495381470191e-07,((x0 / 1.0499049258459998) ^ (1.005421141787663 ^ (x5 ^ (square(x2) ^ (((x8 ^ x4) * x3) ^ x1))))) + -2.704486354297169,0.03954655416106028,(x0/1.0499049258459998)**(1.005421141787663**(x5**((x2**2)**((x3*x8**x4)**x1)))) - 2.704486354297169,PySRFunction(X=>(x0/1.0499049258459998)**(1.005421141787663**(x5**((x2**2)**((x3*x8**x4)**x1)))) - 2.704486354297169)
