complexity,loss,equation,score,sympy_format,lambda_format
1,7.271719034304539e-05,0.02082233365229185,0.0,0.02082233365229185,PySRFunction(X=>0.02082233365229185)
3,8.12721316700889e-06,0.03831747411294683 / x3,1.095679865782935,0.03831747411294683/x3,PySRFunction(X=>0.03831747411294683/x3)
5,3.3394786106360663e-08,(x0 * -0.015662629504665515) - -0.03603908328148878,2.747286788347601,x0*(-0.015662629504665515) - 1*(-0.03603908328148878),PySRFunction(X=>x0*(-0.015662629504665515) - 1*(-0.03603908328148878))
6,2.483362672532088e-08,log((x0 * -0.016002306036003645) + 1.036624514639005),0.29620113210701765,log(1.036624514639005 - 0.016002306036003645*x0),PySRFunction(X=>log(1.036624514639005 - 0.016002306036003645*x0))
7,1.2012065949131666e-08,((x0 * -0.012244035006641878) + 0.02707826601496457) ^ 0.9228321919647018,0.7262870107133519,(0.02707826601496457 + x0*(-0.012244035006641878))**0.9228321919647018,PySRFunction(X=>(0.02707826601496457 + x0*(-0.012244035006641878))**0.9228321919647018)
9,1.1596115075695725e-08,(((x1 * -0.0001865856173018856) + -0.015067739501526801) * x0) + 0.0357895454264462,0.017620752812984156,x0*(x1*(-0.0001865856173018856) - 0.015067739501526801) + 0.0357895454264462,PySRFunction(X=>x0*(x1*(-0.0001865856173018856) - 0.015067739501526801) + 0.0357895454264462)
10,9.784354670378944e-09,(x0 * ((square(x2) * -0.0007328817733691768) + -0.015644616597142693)) + 0.03619880123251203,0.1698854869841601,x0*(x2**2*(-0.0007328817733691768) - 0.015644616597142693) + 0.03619880123251203,PySRFunction(X=>x0*(x2**2*(-0.0007328817733691768) - 0.015644616597142693) + 0.03619880123251203)
11,9.78397021162029e-09,(((square(x2) * -0.0007328904423539387) + -0.015644622389981568) * square(x6)) + 0.036198826616666395,3.929398770945727e-05,x6**2*(x2**2*(-0.0007328904423539387) - 0.015644622389981568) + 0.036198826616666395,PySRFunction(X=>x6**2*(x2**2*(-0.0007328904423539387) - 0.015644622389981568) + 0.036198826616666395)
12,9.611450737459725e-09,(x0 * ((square(x2 + 0.07891154577058564) * -0.000660179372121891) + -0.01556095742079941)) + 0.036120150527384286,0.01779018095607285,x0*((x2 + 0.07891154577058564)**2*(-0.000660179372121891) - 0.01556095742079941) + 0.036120150527384286,PySRFunction(X=>x0*((x2 + 0.07891154577058564)**2*(-0.000660179372121891) - 0.01556095742079941) + 0.036120150527384286)
13,9.208108478844444e-09,(((abs(square(x2) + -0.0711237044744697) * -0.0008518360140142075) + -0.015694895052812706) * x0) + 0.03624222133099272,0.04287072053816321,x0*(Abs(x2**2 - 0.0711237044744697)*(-0.0008518360140142075) - 0.015694895052812706) + 0.03624222133099272,PySRFunction(X=>x0*(Abs(x2**2 - 0.0711237044744697)*(-0.0008518360140142075) - 0.015694895052812706) + 0.03624222133099272)
14,9.207542019316161e-09,(((abs(-0.0711237044744697 + square(x2)) * -0.0008518360140142075) + -0.015694895052812706) * exp(x2)) + 0.03624222133099272,6.151936131914282e-05,(Abs(x2**2 - 0.0711237044744697)*(-0.0008518360140142075) - 0.015694895052812706)*exp(x2) + 0.03624222133099272,PySRFunction(X=>(Abs(x2**2 - 0.0711237044744697)*(-0.0008518360140142075) - 0.015694895052812706)*exp(x2) + 0.03624222133099272)
15,9.1826964716034e-09,(((abs(square(x2 + -0.004877563087672908) + -0.07134123372341705) * -0.0008611411450318179) + -0.015701373746835234) * x0) + 0.03624944878812166,0.002702038131967987,x0*(Abs((x2 - 0.004877563087672908)**2 - 0.07134123372341705)*(-0.0008611411450318179) - 0.015701373746835234) + 0.03624944878812166,PySRFunction(X=>x0*(Abs((x2 - 0.004877563087672908)**2 - 0.07134123372341705)*(-0.0008611411450318179) - 0.015701373746835234) + 0.03624944878812166)
16,8.987122163013175e-09,(x0 * ((abs(abs(square(x2) + -0.06529645054762757) + -0.03491442784868468) * -0.0008704353273993533) + -0.015718497267450678)) + 0.03624715708422296,0.021528212904603092,x0*(Abs(Abs(x2**2 - 0.06529645054762757) - 0.03491442784868468)*(-0.0008704353273993533) - 0.015718497267450678) + 0.03624715708422296,PySRFunction(X=>x0*(Abs(Abs(x2**2 - 0.06529645054762757) - 0.03491442784868468)*(-0.0008704353273993533) - 0.015718497267450678) + 0.03624715708422296)
17,8.986532232146218e-09,(((abs(-0.03491442784868468 + abs(square(x2) + -0.06529645054762757)) * -0.0008704353273993533) + -0.015718497267450678) * square(x6)) + 0.03624715708422296,6.564395355551593e-05,x6**2*(Abs(Abs(x2**2 - 0.06529645054762757) - 0.03491442784868468)*(-0.0008704353273993533) - 0.015718497267450678) + 0.03624715708422296,PySRFunction(X=>x6**2*(Abs(Abs(x2**2 - 0.06529645054762757) - 0.03491442784868468)*(-0.0008704353273993533) - 0.015718497267450678) + 0.03624715708422296)
