complexity,loss,equation,score,sympy_format,lambda_format
1,7.470061425007485e-05,0.02114933787788794,0.0,0.02114933787788794,PySRFunction(X=>0.02114933787788794)
3,8.458314160657966e-06,0.03851078582811236 / x3,1.0891692165132498,0.03851078582811236/x3,PySRFunction(X=>0.03851078582811236/x3)
5,3.830026658483476e-08,0.05166639820775541 - (x3 * 0.01564977452815066),2.6987241521756213,0.05166639820775541 - 0.01564977452815066*x3,PySRFunction(X=>0.05166639820775541 - 0.01564977452815066*x3)
7,1.4129818699049816e-08,(0.02662656010551634 - (x0 * 0.012054084065112953)) ^ 0.9188839306248032,0.49858474545569365,(0.02662656010551634 - 0.012054084065112953*x0)**0.9188839306248032,PySRFunction(X=>(0.02662656010551634 - 0.012054084065112953*x0)**0.9188839306248032)
9,1.1191439682558745e-08,0.04597505921157183 - (x3 * ((x6 * 0.0029417036024206493) + 0.009764381948893865)),0.11656909684182551,0.04597505921157183 - x3*(x6*0.0029417036024206493 + 0.009764381948893865),PySRFunction(X=>0.04597505921157183 - x3*(x6*0.0029417036024206493 + 0.009764381948893865))
11,1.0654303688847304e-08,0.05324673898385883 - (x3 * (0.016294580146141546 - ((0.03216476322008032 ^ x1) * -0.0009807673348052502))),0.024592629619795334,0.05324673898385883 - x3*(0.016294580146141546 - (-0.0009807673348052502)*0.03216476322008032**x1),PySRFunction(X=>0.05324673898385883 - x3*(0.016294580146141546 - (-0.0009807673348052502)*0.03216476322008032**x1))
13,9.953438437605021e-09,(0.05209878590490156 - (x3 * 0.015767856368957098)) + ((x7 ^ (x4 / x7)) * -0.000489163821591823),0.03402292483716017,-0.015767856368957098*x3 + x7**(x4/x7)*(-0.000489163821591823) + 0.05209878590490156,PySRFunction(X=>-0.015767856368957098*x3 + x7**(x4/x7)*(-0.000489163821591823) + 0.05209878590490156)
14,9.611046880219742e-09,0.05215042473384976 - ((x3 * 0.01579798863861404) - (((x0 / x8) ^ log(x7)) * -0.00040676313319935837)),0.03500490949661115,-0.01579798863861404*x3 - 0.00040676313319935837*(x0/x8)**log(x7) + 0.05215042473384976,PySRFunction(X=>-0.01579798863861404*x3 - 0.00040676313319935837*(x0/x8)**log(x7) + 0.05215042473384976)
15,9.562380092863996e-09,(0.05213451123964041 - (x3 * 0.015791713111225524)) - ((x7 ^ ((x4 / x7) ^ 1.4992699401957352)) * 0.00048278765770383517),0.00507649383066989,-0.015791713111225524*x3 - 0.00048278765770383517*x7**((x4/x7)**1.4992699401957352) + 0.05213451123964041,PySRFunction(X=>-0.015791713111225524*x3 - 0.00048278765770383517*x7**((x4/x7)**1.4992699401957352) + 0.05213451123964041)
17,9.009730499005991e-09,(0.052019992995355584 - (x3 * 0.015735226933979857)) - ((x7 ^ (0.5199853533225604 / (x7 ^ x3))) * (0.00039050348188274914 / x7)),0.02976574995644591,-0.015735226933979857*x3 + 0.052019992995355584 - 0.00039050348188274914*x7**(0.5199853533225604/(x7**x3))/x7,PySRFunction(X=>-0.015735226933979857*x3 + 0.052019992995355584 - 0.00039050348188274914*x7**(0.5199853533225604/(x7**x3))/x7)
19,9.009730499005988e-09,((0.04785507963043595 - (x3 * 0.015735226933979857)) - ((0.00039050348188274914 / x7) * (x7 ^ (0.5199853533225604 / (x7 ^ x3))))) - -0.004164913364919633,1.665334536937735e-16,-0.015735226933979857*x3 - 1*(-0.004164913364919633) + 0.04785507963043595 - 0.00039050348188274914*x7**(0.5199853533225604/(x7**x3))/x7,PySRFunction(X=>-0.015735226933979857*x3 - 1*(-0.004164913364919633) + 0.04785507963043595 - 0.00039050348188274914*x7**(0.5199853533225604/(x7**x3))/x7)
20,9.009719952706302e-09,((0.04785507963043595 - (x3 * 0.015735226933979857)) - ((x7 ^ (log(1.6858623935713657) / (x7 ^ x3))) * (0.00039050348188274914 / x7))) - -0.004164913364919633,1.1705462067116006e-06,-0.015735226933979857*x3 + 0.05201999299535558 - 0.00039050348188274914*x7**(0.52227723914997296/x7**x3)/x7,PySRFunction(X=>-0.015735226933979857*x3 + 0.05201999299535558 - 0.00039050348188274914*x7**(0.52227723914997296/x7**x3)/x7)
