complexity,loss,equation,score,sympy_format,lambda_format
1,0.2026646019939484,-1.9199794392184777,0.0,-1.9199794392184777,PySRFunction(X=>-1.9199794392184777)
3,0.0464342460461476,-1.6228849927819204 - x8,0.7367575786890177,-x8 - 1.6228849927819204,PySRFunction(X=>-x8 - 1.6228849927819204)
4,0.0262416544915746,-0.5143008943486463 - exp(x8),0.5706892339797178,-exp(x8) - 0.5143008943486463,PySRFunction(X=>-exp(x8) - 0.5143008943486463)
5,0.0148313216132675,(x4 + -2.259393526630503) - x8,0.5706067446293757,x4 - x8 - 2.259393526630503,PySRFunction(X=>x4 - x8 - 2.259393526630503)
6,0.0026183300788991,sqrt(x4) + (-2.3855448879086936 - x8),1.7342045296316186,sqrt(x4) - x8 - 2.3855448879086936,PySRFunction(X=>sqrt(x4) - x8 - 2.3855448879086936)
7,0.0021306971345119,((x4 ^ 0.41965935679956035) - x8) + -2.4127119167152697,0.20608752072688274,x4**0.41965935679956035 - x8 - 2.4127119167152697,PySRFunction(X=>x4**0.41965935679956035 - x8 - 2.4127119167152697)
8,0.0006189127655948,(exp(-0.31656084211892 / x4) + -2.1666710494688575) - x8,1.2362401635561966,-x8 - 2.1666710494688575 + exp(-0.31656084211892/x4),PySRFunction(X=>-x8 - 2.1666710494688575 + exp(-0.31656084211892/x4))
9,0.000312252046592,((0.31459160702657 ^ x5) / -0.3391406227785984) + (0.7806995141569726 - x3),0.6841536314745363,0.31459160702657**x5/(-0.3391406227785984) - x3 + 0.7806995141569726,PySRFunction(X=>0.31459160702657**x5/(-0.3391406227785984) - x3 + 0.7806995141569726)
10,0.000312252046592,((0.31459160702657 ^ x5) / -0.3391406227785984) + (0.7806995141569726 - exp(x4)),-0.0,0.31459160702657**x5/(-0.3391406227785984) - exp(x4) + 0.7806995141569726,PySRFunction(X=>0.31459160702657**x5/(-0.3391406227785984) - exp(x4) + 0.7806995141569726)
11,7.053891743400929e-05,((0.31766813609320377 ^ x5) / -0.4119464909981966) + (-0.7428940105758755 - (x5 / 3.8586906147093627)),1.4876461254704771,0.31766813609320377**x5/(-0.4119464909981966) - x5/3.8586906147093627 - 0.7428940105758755,PySRFunction(X=>0.31766813609320377**x5/(-0.4119464909981966) - x5/3.8586906147093627 - 0.7428940105758755)
12,7.053891743400925e-05,(-0.7428940105758755 - abs(x5 / 3.8586906147093627)) + ((0.31766813609320377 ^ x5) / -0.4119464909981966),5.551115123125785e-16,0.31766813609320377**x5/(-0.4119464909981966) - 0.25915526790046115*Abs(x5) - 0.7428940105758755,PySRFunction(X=>0.31766813609320377**x5/(-0.4119464909981966) - 0.25915526790046115*Abs(x5) - 0.7428940105758755)
13,4.204200631564522e-05,(((x7 * -0.8662704172545198) * (0.5335636571318819 ^ x5)) + -1.4849979247641685) - (x8 / 1.1714521619778837),0.5174953090128764,x7*(-0.8662704172545198)*0.5335636571318819**x5 - x8/1.1714521619778837 - 1.4849979247641685,PySRFunction(X=>x7*(-0.8662704172545198)*0.5335636571318819**x5 - x8/1.1714521619778837 - 1.4849979247641685)
14,3.1266490289647133e-05,((0.33147923773902976 ^ x5) / -0.41357815199387477) + (-0.7481494582478121 - abs((x5 / 3.768923587792203) - 0.036556808504756344)),0.29612234256662684,0.33147923773902976**x5/(-0.41357815199387477) - Abs(x5/3.768923587792203 - 1*0.036556808504756344) - 0.7481494582478121,PySRFunction(X=>0.33147923773902976**x5/(-0.41357815199387477) - Abs(x5/3.768923587792203 - 1*0.036556808504756344) - 0.7481494582478121)
17,2.5380130038791663e-05,((((x7 ^ (x5 ^ 0.2973508941046366)) * -0.9557564251372325) * (0.32591806634175285 ^ x0)) + -1.4916142080241759) - (x8 * 0.7486114372475069),0.06952678010904223,x7**(x5**0.2973508941046366)*(-0.9557564251372325)*0.32591806634175285**x0 - 0.7486114372475069*x8 - 1.4916142080241759,PySRFunction(X=>x7**(x5**0.2973508941046366)*(-0.9557564251372325)*0.32591806634175285**x0 - 0.7486114372475069*x8 - 1.4916142080241759)
18,2.538013003879157e-05,((-0.9557564251372325 * (x7 ^ (x5 ^ 0.2973508941046366))) * (0.32591806634175285 ^ x0)) + (-1.4916142080241759 - (square(x7) * 0.7486114372475069)),3.552713678800507e-15,-0.9557564251372325*0.32591806634175285**x0*x7**(x5**0.2973508941046366) - 0.7486114372475069*x7**2 - 1.4916142080241759,PySRFunction(X=>-0.9557564251372325*0.32591806634175285**x0*x7**(x5**0.2973508941046366) - 0.7486114372475069*x7**2 - 1.4916142080241759)
19,2.266165204916956e-05,(((((x7 ^ x0) ^ 1.2309316449200762) * (0.3363207761598406 ^ (x0 ^ x7))) * -0.9675521212904342) + -1.4906961316753102) - (x8 * 0.7275840932549927),0.11329242703749938,(x7**x0)**1.2309316449200762*0.3363207761598406**(x0**x7)*(-0.9675521212904342) - 0.7275840932549927*x8 - 1.4906961316753102,PySRFunction(X=>(x7**x0)**1.2309316449200762*0.3363207761598406**(x0**x7)*(-0.9675521212904342) - 0.7275840932549927*x8 - 1.4906961316753102)
