complexity,loss,equation,score,sympy_format,lambda_format
1,0.1925014905572827,-1.9372682024961057,0.0,-1.9372682024961057,PySRFunction(X=>-1.9372682024961057)
3,0.0458966855560275,-1.629918850744091 - x8,0.7168554962508427,-x8 - 1.629918850744091,PySRFunction(X=>-x8 - 1.629918850744091)
4,0.0292573098857681,-0.520533554991846 - exp(x8),0.45026345127093315,-exp(x8) - 0.520533554991846,PySRFunction(X=>-exp(x8) - 0.520533554991846)
5,0.0153131541422794,x4 + (-2.254384296577953 - x8),0.647417246191666,x4 - x8 - 2.254384296577953,PySRFunction(X=>x4 - x8 - 2.254384296577953)
6,0.0025585650893123,(sqrt(x4) + -2.386206827468782) - x8,1.7892656175297716,sqrt(x4) - x8 - 2.386206827468782,PySRFunction(X=>sqrt(x4) - x8 - 2.386206827468782)
7,0.0010640730776389,-1.2866066089195436 - ((x3 ^ -2.0196688281931596) + x8),0.8773425188061199,-(x3**(-2.0196688281931596) + x8) - 1.2866066089195436,PySRFunction(X=>-(x3**(-2.0196688281931596) + x8) - 1.2866066089195436)
8,0.0010170440577836,-1.4615933957086071 - (square(x4 + -0.9030815112481484) + x8),0.04520363310317779,-(x8 + (x4 - 0.9030815112481484)**2) - 1.4615933957086071,PySRFunction(X=>-(x8 + (x4 - 0.9030815112481484)**2) - 1.4615933957086071)
9,0.0003439500662967,((x1 * -0.10250196686353899) - -1.5837124148504773) * (-1.0206146599795471 - x8),1.0841592257083734,(-x8 - 1.0206146599795471)*(x1*(-0.10250196686353899) - 1*(-1.5837124148504773)),PySRFunction(X=>(-x8 - 1.0206146599795471)*(x1*(-0.10250196686353899) - 1*(-1.5837124148504773)))
10,9.431525811371337e-05,((square(x5) * -0.01393199820314462) - -1.660620502538898) * (-0.9400332525192315 - x8),1.293853510209397,(-x8 - 0.9400332525192315)*(x5**2*(-0.01393199820314462) - 1*(-1.660620502538898)),PySRFunction(X=>(-x8 - 0.9400332525192315)*(x5**2*(-0.01393199820314462) - 1*(-1.660620502538898)))
11,6.903916993793558e-05,(((x1 * -0.16899649128417946) - -1.6448244424348266) * (-0.39882971692410485 - x8)) - 0.922588395134173,0.31196895672587766,(-x8 - 0.39882971692410485)*(x1*(-0.16899649128417946) - 1*(-1.6448244424348266)) - 1*0.922588395134173,PySRFunction(X=>(-x8 - 0.39882971692410485)*(x1*(-0.16899649128417946) - 1*(-1.6448244424348266)) - 1*0.922588395134173)
13,2.3450218001484497e-05,((x7 * (2.65751361949387 - x5)) * -0.14821057225712347) - ((x8 * 1.3198567417925853) + 1.496543292307951),0.5398971162500315,x7*(2.65751361949387 - x5)*(-0.14821057225712347) - (x8*1.3198567417925853 + 1.496543292307951),PySRFunction(X=>x7*(2.65751361949387 - x5)*(-0.14821057225712347) - (x8*1.3198567417925853 + 1.496543292307951))
15,2.31616056573525e-05,((x7 * -0.22289649496355446) * ((2.6002645093205987 - x1) + -1.2791862310186621)) - ((x8 * 1.4123828396104756) + 1.4970613562208268),0.006191906042380059,x7*(-0.22289649496355446)*(-x1 - 1.2791862310186621 + 2.6002645093205987) - (x8*1.4123828396104756 + 1.4970613562208268),PySRFunction(X=>x7*(-0.22289649496355446)*(-x1 - 1.2791862310186621 + 2.6002645093205987) - (x8*1.4123828396104756 + 1.4970613562208268))
19,2.201710732850384e-05,((x7 * 0.1485619426105284) * ((x8 * 1.6140823364398638) - ((x8 + 2.3084084470248754) - x5))) - ((x8 * 1.4528147439098549) + 1.500723056735231),0.012669055545567484,x7*0.1485619426105284*(x8*1.6140823364398638 - (-x5 + x8 + 2.3084084470248754)) - (x8*1.4528147439098549 + 1.500723056735231),PySRFunction(X=>x7*0.1485619426105284*(x8*1.6140823364398638 - (-x5 + x8 + 2.3084084470248754)) - (x8*1.4528147439098549 + 1.500723056735231))
