complexity,loss,equation,score,sympy_format,lambda_format
1,0.0024763811933276,-0.0057357238373013635,0.0,-0.0057357238373013635,PySRFunction(X=>-0.0057357238373013635)
3,0.0013452812741055,x1 * -0.020939705145540503,0.30509759067766273,x1*(-0.020939705145540503),PySRFunction(X=>x1*(-0.020939705145540503))
4,0.0007096277613341,exp(x5) * -0.0007170405695618581,0.6396178431596795,exp(x5)*(-0.0007170405695618581),PySRFunction(X=>exp(x5)*(-0.0007170405695618581))
5,0.0003720948061914,0.04809935387115055 - (x1 * 0.04340982110683029),0.6455918755852557,0.04809935387115055 - 0.04340982110683029*x1,PySRFunction(X=>0.04809935387115055 - 0.04340982110683029*x1)
6,0.0001345201644103,(square(x1) * -0.014180134421480028) - -0.03190791730939749,1.0174345680852686,x1**2*(-0.014180134421480028) - 1*(-0.03190791730939749),PySRFunction(X=>x1**2*(-0.014180134421480028) - 1*(-0.03190791730939749))
7,6.090501704782231e-05,(x0 * (x7 * -0.1120214823031497)) + 0.04206285635110325,0.792398556010692,x0*x7*(-0.1120214823031497) + 0.04206285635110325,PySRFunction(X=>x0*x7*(-0.1120214823031497) + 0.04206285635110325)
8,2.7097864716405588e-05,((exp(x7) * -0.07163494146571228) * x6) + 0.10022687271419976,0.8098606210315209,exp(x7)*(-0.07163494146571228)*x6 + 0.10022687271419976,PySRFunction(X=>exp(x7)*(-0.07163494146571228)*x6 + 0.10022687271419976)
9,2.4007245815075823e-05,(x4 * ((x7 * -0.17349064898116015) + -0.03283683291583899)) + 0.06234971224107567,0.12109923828468337,x4*(x7*(-0.17349064898116015) - 0.03283683291583899) + 0.06234971224107567,PySRFunction(X=>x4*(x7*(-0.17349064898116015) - 0.03283683291583899) + 0.06234971224107567)
10,1.383738264544431e-05,(square(x7 + 0.7748191910903489) * (x4 * -0.07056575171816593)) + 0.062082330483124795,0.5509818766526734,(x7 + 0.7748191910903489)**2*x4*(-0.07056575171816593) + 0.062082330483124795,PySRFunction(X=>(x7 + 0.7748191910903489)**2*x4*(-0.07056575171816593) + 0.062082330483124795)
11,1.38373826454443e-05,((square(abs(x7 + 0.7748191910903538)) * -0.07056575171816634) * x4) + 0.06208233048312675,7.771561172376099e-16,Abs(x7 + 0.7748191910903538)**2*(-0.07056575171816634)*x4 + 0.06208233048312675,PySRFunction(X=>Abs(x7 + 0.7748191910903538)**2*(-0.07056575171816634)*x4 + 0.06208233048312675)
12,7.855347543214836e-06,((x4 * ((x8 + 0.6633719905322555) + abs(x2))) * -0.10071635259247579) + 0.07898878660900559,0.5661793015230423,x4*(x8 + Abs(x2) + 0.6633719905322555)*(-0.10071635259247579) + 0.07898878660900559,PySRFunction(X=>x4*(x8 + Abs(x2) + 0.6633719905322555)*(-0.10071635259247579) + 0.07898878660900559)
14,6.7965810407208844e-06,((x4 * -0.09992256850597545) * ((x8 + abs(-0.027459640539102086 - x2)) + 0.6294647357322409)) + 0.07692922054616214,0.07238740897796893,x4*(-0.09992256850597545)*(x8 + Abs(x2 + 0.027459640539102086) + 0.6294647357322409) + 0.07692922054616214,PySRFunction(X=>x4*(-0.09992256850597545)*(x8 + Abs(x2 + 0.027459640539102086) + 0.6294647357322409) + 0.07692922054616214)
15,2.79158686366431e-06,((x4 * ((((x1 * -0.056918757813716254) - -0.4049618744088281) * x8) + 0.08822979458895062)) * -0.8218385890731442) + 0.07587691632861251,0.8898094951281135,x4*(x8*(x1*(-0.056918757813716254) - 1*(-0.4049618744088281)) + 0.08822979458895062)*(-0.8218385890731442) + 0.07587691632861251,PySRFunction(X=>x4*(x8*(x1*(-0.056918757813716254) - 1*(-0.4049618744088281)) + 0.08822979458895062)*(-0.8218385890731442) + 0.07587691632861251)
17,2.472387547958093e-06,((x4 * (((x8 + -0.05218070549510049) * ((x1 * -0.037893654047192096) - -0.2617129588151941)) + 0.06748883103984767)) * -1.2526453241257551) + 0.07428752639765994,0.06071295005642954,x4*((x8 - 0.05218070549510049)*(x1*(-0.037893654047192096) - 1*(-0.2617129588151941)) + 0.06748883103984767)*(-1.2526453241257551) + 0.07428752639765994,PySRFunction(X=>x4*((x8 - 0.05218070549510049)*(x1*(-0.037893654047192096) - 1*(-0.2617129588151941)) + 0.06748883103984767)*(-1.2526453241257551) + 0.07428752639765994)
20,1.6949427878414274e-06,((((((x1 * -0.07664490920088875) - -0.5433652710454651) * square((x2 + 0.01956506028854484) * x6)) + 0.09558132682401106) * x4) * -0.6177352360428746) + 0.0673824725463091,0.12584510519820116,((x6**2*(x2 + 0.01956506028854484)**2)*(x1*(-0.07664490920088875) - 1*(-0.5433652710454651)) + 0.09558132682401106)*x4*(-0.6177352360428746) + 0.0673824725463091,PySRFunction(X=>((x6**2*(x2 + 0.01956506028854484)**2)*(x1*(-0.07664490920088875) - 1*(-0.5433652710454651)) + 0.09558132682401106)*x4*(-0.6177352360428746) + 0.0673824725463091)
