complexity,loss,equation,score,sympy_format,lambda_format
1,0.002550150099277,-0.006424541219865181,0.0,-0.006424541219865181,PySRFunction(X=>-0.006424541219865181)
3,0.0013024032781092,x1 * -0.02212805620934192,0.33597049333043416,x1*(-0.02212805620934192),PySRFunction(X=>x1*(-0.02212805620934192))
4,0.0007199026929362,square(x1) * -0.009843959038736751,0.5928504580438752,x1**2*(-0.009843959038736751),PySRFunction(X=>x1**2*(-0.009843959038736751))
5,0.0003797590741075,(x1 * -0.04298131799662948) - -0.04546892520338811,0.6395790180359424,x1*(-0.04298131799662948) - 1*(-0.04546892520338811),PySRFunction(X=>x1*(-0.04298131799662948) - 1*(-0.04546892520338811))
6,0.0001274522234892,(square(x1) * -0.013987375529473644) + 0.030397671376470183,1.0917954594985444,0.030397671376470183 + x1**2*(-0.013987375529473644),PySRFunction(X=>0.030397671376470183 + x1**2*(-0.013987375529473644))
7,5.2605382604727125e-05,(x7 * (x0 * -0.11141487485870084)) + 0.04166365472211578,0.8849231312459191,x7*x0*(-0.11141487485870084) + 0.04166365472211578,PySRFunction(X=>x7*x0*(-0.11141487485870084) + 0.04166365472211578)
9,2.450338026559236e-05,(x4 * ((x7 * -0.17490467458093212) + -0.030818614288331873)) - -0.06109986686364284,0.3820036836693468,x4*(x7*(-0.17490467458093212) - 0.030818614288331873) - 1*(-0.06109986686364284),PySRFunction(X=>x4*(x7*(-0.17490467458093212) - 0.030818614288331873) - 1*(-0.06109986686364284))
10,9.83198468682021e-06,(x6 * (sqrt(x8 + 0.14325589793355542) * -0.1782298763302255)) - -0.09402194995571246,0.9131702632790551,-0.1782298763302255*x6*sqrt(x8 + 0.14325589793355542) + 0.09402194995571246,PySRFunction(X=>-0.1782298763302255*x6*sqrt(x8 + 0.14325589793355542) + 0.09402194995571246)
12,9.831984686820207e-06,(sqrt(x6 * ((x8 + 0.14325589793355542) * x6)) * -0.1782298763302255) - -0.09402194995571246,1.665334536937735e-16,0.09402194995571246 - 0.1782298763302255*sqrt(x6**2*(x8 + 0.14325589793355542)),PySRFunction(X=>0.09402194995571246 - 0.1782298763302255*sqrt(x6**2*(x8 + 0.14325589793355542)))
13,2.274977924149088e-06,((((x8 * 0.1239966627759752) + 0.012581640179099147) * x0) + -0.028308943262035646) * (x3 + -3.661029158008644),1.463670466093713,(x3 - 3.661029158008644)*(x0*(x8*0.1239966627759752 + 0.012581640179099147) - 0.028308943262035646),PySRFunction(X=>(x3 - 3.661029158008644)*(x0*(x8*0.1239966627759752 + 0.012581640179099147) - 0.028308943262035646))
14,2.274958591454091e-06,((square(x6) * ((x8 * 0.12399651912743202) + 0.01258172972863417)) + -0.028309038491990103) * (x3 + -3.6610291456685964),8.498006480233516e-06,(x3 - 3.6610291456685964)*(x6**2*(x8*0.12399651912743202 + 0.01258172972863417) - 0.028309038491990103),PySRFunction(X=>(x3 - 3.6610291456685964)*(x6**2*(x8*0.12399651912743202 + 0.01258172972863417) - 0.028309038491990103))
15,2.1937125970789347e-06,(((x0 + 0.0085063439461312) * ((x8 * 0.12381484973458914) + 0.013282017040922073)) + -0.029206560686356284) * (x3 + -3.6547929140040547),0.03636649235652024,(x3 - 3.6547929140040547)*((x0 + 0.0085063439461312)*(x8*0.12381484973458914 + 0.013282017040922073) - 0.029206560686356284),PySRFunction(X=>(x3 - 3.6547929140040547)*((x0 + 0.0085063439461312)*(x8*0.12381484973458914 + 0.013282017040922073) - 0.029206560686356284))
