draw_index,mse_pysr,equation,sympy,mse_constant,mse_power_law,mse_linear_q,mse_quadratic_q,q_peak,has_interior_peak,monotonic_increasing,monotonic_decreasing,slope_low,slope_high,rate_q95_over_q80,rises_toward_equal_mass,peaks_then_declines_near_unity
350,2.5065294299471654,x0 - (exp((square(square(0.7493169 - x0) * -14.320896) * x0) + -0.8580817) + exp(4.476483 - exp((x0 * 33.371033) + -5.399718))),x0 - (exp(4.476483 - exp(x0*33.371033 - 5.399718)) + exp(x0*(205.088062242816*(0.7493169 - x0)**4) - 0.8580817)),980.5779589427189,204.32165100589253,460.96272254197777,155.6252135664594,0.8908817635270542,True,False,False,42.433150908646894,0.0352593530014218,0.9928895980078195,False,False
613,3.7678034768839312,((exp(square(0.0071733543 - square(x0)) * -1659.722) * -81.93315) - exp(3.275757 - x0)) + 12.513286,exp((0.0071733543 - x0**2)**2*(-1659.722))*(-81.93315) - exp(3.275757 - x0) + 12.513286,952.596010583508,177.1016925062521,418.41046523046884,138.29836816350698,1.0,False,True,False,62.06259022781933,9.671739817857258,5.2397331033870564,True,False
2703,3.850904099818967,1.5010489 - square(((x0 - square(exp(square(x0 + -0.16370401) * (-3.7769535 - square(x0 * 30.033442))))) * -6.052763) + 4.685398),1.5010489 - 36.635939934169*(-x0 + exp(2*(x0 - 0.16370401)**2*(-902.007638367364*x0**2 - 3.7769535)) + 0.774092426880088)**2,1300.760274896548,289.8837151852439,489.85248779649476,156.9019803296892,0.7738276553106213,True,False,False,83.48589969029717,-7.550661220268935,0.32988784301754753,False,True
1845,3.493623367499596,((156.87117 - (x0 * 59.35245)) * sqrt(x0)) + ((exp((15.075498 - (square(x0) * 265.3751)) * x0) * -12.625329) + -96.82089),sqrt(x0)*(156.87117 - 59.35245*x0) - 12.625329*exp(x0*(15.075498 - 265.3751*x0**2)) - 96.82089,1128.5525083060143,165.35477047282777,311.9821841777907,72.6144495410318,0.8809619238476954,True,False,False,79.5854277274816,-0.7455246601325314,1.1065913563712437,False,True
1791,2.6896167000646463,(exp(exp(0.88862294 - square(0.1563674 - square(square(x0 + x0) * 3.9907513)))) * -8.395415) + (x0 * 11.217279),x0*11.217279 + exp(exp(0.88862294 - (0.1563674 - 15.9260959384517*(x0 + x0)**4)**2))*(-8.395415),1290.3401953545747,292.6484403718905,490.4158768580405,171.07078022811805,1.0,False,True,False,65.42807386002096,9.98215020589393,5.379486986217641,True,False
85,2.2810837980428227,((-10.820596 - exp(((x0 * x0) * (48.004528 - square(x0 * -42.029335))) + 2.8400345)) - (x0 * -10.036727)) * (3.282742 - (x0 * 4.494286)),(3.282742 - 4.494286*x0)*(-(-10.036727)*x0 - exp(x0*x0*(48.004528 - 1766.46500054223*x0**2) + 2.8400345) - 10.820596),997.863758554785,149.70367039610755,348.2044227231024,100.61070762163055,0.9047695390781563,True,False,False,57.24626382211795,1.153638232908662,1.4858302691170282,True,False
3577,4.4518743787319925,(sqrt(x0) * 17.395407) - (exp((((0.097891815 - x0) * square(x0)) * 734.4266) + 4.3226285) + 14.533096),17.395407*sqrt(x0) - 75.3865215687905*exp(734.4266*x0**2*(0.097891815 - x0)) - 14.533096,817.2041219258621,166.0600595387299,416.1329872931523,152.8691469671008,1.0,False,True,False,47.64268370255945,8.204889388927825,4.039080380035348,True,False
155,2.94939535552026,(x0 * 7.6827016) + (-5.4190826 - exp(4.4959 - square(0.24400505 - square(square(x0 * 4.349622))))),x0*7.6827016 - exp(4.4959 - (0.24400505 - 357.936565404395*x0**4)**2) - 5.4190826,1340.0889599025,327.5898113765783,532.8855040352852,193.37135405146503,1.0,False,True,False,48.57726862484685,6.836763296897715,3.1658001574923333,True,False
3186,0.8394375640084014,6.83107 - exp(exp((-0.0297916 - x0) * exp(exp(square(x0) * -97.14266) * -77.75112)) * 4.5818424),6.83107 - exp(exp((-x0 - 0.0297916)*exp(exp(x0**2*(-97.14266))*(-77.75112)))*4.5818424),1148.2499451884348,189.18964735618994,325.6332938114665,101.41491256568193,1.0,False,True,False,49.33373641214348,10.097604119002952,6.003089795244097,True,False
894,2.5696990209519774,(((22.531153 - square(exp(x0))) * x0) - exp((x0 * ((square(x0 * ((x0 * 26.559837) + -4.102416)) * -18.631027) - -0.4483792)) + 4.357084)) + -13.1612425,x0*(22.531153 - exp(2*x0)) - exp(x0*((705.424941466569*x0**2*(x0 - 0.154459381659609)**2)*(-18.631027) - 1*(-0.4483792)) + 4.357084) - 13.1612425,1267.539771663482,280.2178041094422,478.5787365937923,164.45483146809394,1.0,False,True,False,51.894105869090026,5.384561831465874,2.692495076392397,True,False
2110,3.6622212338763793,-14.1678705 - ((x0 * -17.976427) + exp(4.3954954 - square((7.1639953 - (x0 * 50.683647)) * x0))),-(x0*(-17.976427) + exp(4.3954954 - 2568.83207322061*x0**2*(0.141347273214179 - x0)**2)) - 14.1678705,1191.9124022487651,233.09012103960606,422.14241992108816,135.876522223326,1.0,False,True,False,69.95700367435165,15.997051912436405,14.827246889179698,True,False
1919,4.161778860663235,((exp(2.3312159 - square((3.7309012 - square(x0 * 11.682589)) * x0)) - x0) * -8.591828) + -6.0250735,(-x0 + exp(2.3312159 - 18627.5781007152*x0**2*(0.0273360368935012 - x0**2)**2))*(-8.591828) - 6.0250735,1327.5855951005567,317.3121582543645,525.861919777206,180.02206703474656,1.0,False,True,False,48.59487318321953,7.645786258789116,3.628338867138339,True,False
4279,2.384941152689806,(-37.21044 - (sqrt(x0) * ((x0 * 16.09974) + -55.227142))) - exp(4.3095245 - square(square((6.984909 * x0) - 0.16659763) - 0.42628258)),-sqrt(x0)*(16.09974*x0 - 55.227142) - 37.21044 - 74.4051009020272*exp(-2380.36200687612*((x0 - 0.0238510809518062)**2 - 0.00873727652137636)**2),1051.972701355407,194.16593103981384,419.71644998057144,131.57569303623723,1.0,False,True,False,57.809418202486086,5.776098420032383,2.8423735322250003,True,False
1645,4.843196204285495,(x0 * 9.583443) + (-6.96851 - exp(4.4608984 - square(square((x0 + -0.08240257) * 7.571377)))),x0*9.583443 - exp(4.4608984 - 3286.2415759302*(x0 - 0.08240257)**4) - 6.96851,1154.714880361106,247.8331720210336,484.7930887338883,156.38379737365585,1.0,False,True,False,72.41188278747694,8.528215043561062,4.210230248182776,True,False
1875,2.2479127302046233,((sqrt(x0) * 51.245552) + -35.352104) + ((exp(((0.15938126 - x0) * 2842.723) * (x0 * square(x0))) * -59.867634) - exp(exp(x0))),51.245552*sqrt(x0) - 59.867634*exp(x0**3*(453.07677357098 - 2842.723*x0)) - exp(exp(x0)) - 35.352104,1060.0468220786545,189.8746564707551,406.6430396490613,125.71540089342622,0.8849298597194389,True,False,False,56.40961666828525,-0.5616103637276524,1.1033359528561892,False,True
2386,1.6815473791522184,(((x0 * 10.190606) + -5.853524) * exp(exp(exp((square((x0 + -0.1462761) * square(x0 * -6.7867765)) * -9.431192) + x0)) - x0)) + -1.8631458,(x0*10.190606 - 5.853524)*exp(-x0 + exp(exp(x0 + (2121.55448435132*x0**4*(x0 - 0.1462761)**2)*(-9.431192)))) - 1.8631458,1217.1484401755936,261.66176136015383,472.75552603332306,158.51653774317867,1.0,False,True,False,48.59161949066197,6.930070973928196,3.373073801322389,True,False
4165,3.4064250639704188,((x0 * 5.738571) - exp(4.50133 - square((square(0.052016564 - x0) * 59.551624) - 0.2255568))) + -3.8734798,x0*5.738571 - exp(4.50133 - ((0.052016564 - x0)**2*59.551624 - 1*0.2255568)**2) - 3.8734798,1093.9062296764257,256.7566717828796,522.3545699643569,174.4098516472378,1.0,False,True,False,56.26086515708084,5.106699912624663,2.3650188672853414,True,False
3117,0.9422396763494788,(x0 * 5.293417) + (-91.44172 + exp((exp(12.297178 - (sqrt(x0) * 34.87801)) * -11.357409) + 4.476128)),5.293417*x0 - 91.44172 + 87.8936885942466*exp(-2488145.73501529*exp(-34.87801*sqrt(x0))),1105.4953026136989,251.57526450223523,509.1950767165048,171.81055617582345,1.0,False,True,False,51.84414329904979,4.710580086791595,2.2122689512539053,True,False
3110,2.5146895681605823,((x0 * (80.01823 - (x0 * 37.158283))) + (exp(x0 * (1.8243876 - square(square(square(x0 * 5.283336))))) * -48.722973)) - 40.76554,x0*(80.01823 - 37.158283*x0) + exp(x0*(1.8243876 - 607107.849839655*x0**8))*(-48.722973) - 1*40.76554,1162.10194632426,196.525952457621,319.2709200733202,105.71472397153316,1.0,False,True,False,38.16349952516066,12.355623414329216,9.474301458434049,True,False
4056,3.7904665535884243,((x0 * 8.884361) - exp(4.4719777 - square(square(square(x0 * 4.5667415)) + -0.19546282))) - 6.304463,x0*8.884361 - exp(4.4719777 - 189169.63802061*(x0**4 - 0.000449405562694051)**2) - 1*6.304463,1266.0472307183848,296.0392344763092,520.9125705407145,175.4629688778573,1.0,False,True,False,41.97888564567262,7.906108601327077,3.7910951155832144,True,False
358,1.5802889821426216,(exp(exp(0.0446865 - square((x0 * (x0 * -40.623222)) + 0.7227224)) + (x0 * -3.754673)) * -54.07541) + 2.7736185,2.7736185 + exp(x0*(-3.754673) + exp(0.0446865 - (x0*x0*(-40.623222) + 0.7227224)**2))*(-54.07541),1008.453015645322,158.7400187114334,357.5341569688587,109.50393210509594,1.0,False,True,False,54.96412080227901,6.394783073961591,3.173985204554913,True,False
2328,1.3958840237833654,(exp(exp(square(x0) * -103.43283) * -68.05711) * ((sqrt(x0) * 28.501558) + 65.83118)) + -91.0408,(28.501558*sqrt(x0) + 65.83118)*exp(-68.05711*exp(-103.43283*x0**2)) - 91.0408,1175.4515317960954,230.729347323051,423.97781585421313,139.88765345187295,1.0,False,True,False,49.78847154847426,13.443326206860036,9.84835184063434,True,False
586,3.603159740066662,(exp(square((0.12254243 - x0) * x0) * -2372.8953) * -88.38325) + (-5.2957635 + (x0 * 7.4453807)),x0*7.4453807 + exp((x0**2*(0.12254243 - x0)**2)*(-2372.8953))*(-88.38325) - 5.2957635,1179.3744692294579,264.8043056219008,504.0005415876479,168.81807741202294,1.0,False,True,False,76.68649596863452,6.625573678559903,3.055085777357288,True,False
3351,3.8123078417115055,((x0 * 8.66793) + -6.200787) + (exp((1.7528312 - square(square(square(x0)) * 1183.4966)) * square(x0)) * -84.339165),x0*8.66793 + exp(x0**2*(1.7528312 - 1400664.20221156*x0**8))*(-84.339165) - 6.200787,1330.9765141315404,316.86798830324585,519.0976660124012,182.14330980075303,1.0,False,True,False,42.57565451320761,7.713508706895254,3.6699947911692177,True,False
2360,0.7604764150135251,(exp(0.97141933 - (exp(1.6181337 - (exp(x0 * -43.28341) * 5510.975)) * x0)) * -35.06783) + 1.8074489,1.8074489 + exp(0.97141933 - x0*exp(1.6181337 - 5510.975*exp(x0*(-43.28341))))*(-35.06783),1136.7482928994814,186.99275125923555,350.09876983333885,99.77679665490466,1.0,False,True,False,52.320010826826774,4.673385589612849,2.3858612977081903,True,False
3146,3.702921964264459,(-16.818918 + (x0 * 20.965271)) - exp(4.3452296 - square(0.1699291 - square((x0 * 8.105931) + -0.68676996))),x0*20.965271 - exp(4.3452296 - (0.1699291 - (x0*8.105931 - 0.68676996)**2)**2) - 16.818918,1134.9444485596846,208.2414062967336,398.0058083778834,127.21958512414898,1.0,False,True,False,54.868778577744024,18.656795844096507,23.214884513001966,True,False
2094,2.7795308317041822,(exp(exp(0.7731567 - square(((x0 * 39.491833) - 5.097136) * x0))) - (x0 * 1.2925578)) * -10.884533,(-1.2925578*x0 + exp(exp(0.7731567 - x0**2*(x0*39.491833 - 1*5.097136)**2)))*(-10.884533),1127.8817302166585,222.60892546705313,441.05686250089263,141.81456371008792,1.0,False,True,False,72.13483740528068,12.519770037855437,8.25100403662717,True,False
292,2.8701361715011884,exp(square(((x0 + -0.20199423) * (-633.4188 * square(x0))) * x0) * -3.2372358) * -92.258514,exp((401219.37619344*x0**6*(x0 - 0.20199423)**2)*(-3.2372358))*(-92.258514),1450.4559359967564,402.45003847900966,603.5447612232292,236.9285703747134,0.3433066132264529,True,True,False,7.152708376760529,0.0,1.0,False,False
3661,2.21458089395555,(exp(exp(exp((12.27993 - exp(x0 * 14.566105)) * square(x0))) + (x0 * -2.533254)) * -6.437778) + 2.8451262,2.8451262 + exp(x0*(-2.533254) + exp(exp(x0**2*(12.27993 - exp(x0*14.566105)))))*(-6.437778),1053.2837504075876,214.42807540072997,459.41962188166093,149.8329571635034,1.0,False,True,False,62.6090128321581,4.140072803865252,2.073091090368789,True,False
